27/10/2021	12:56
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	15.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.980
Temperature (K):	294.0
Laser intensity (mW):	0.131075
Average Count rate  A (kHz):	248.4
Average Count rate  B (kHz):	233.0
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
11.062477	239.639282	221.099854
11.114906	230.846405	222.434998
11.167334	236.454010	220.165253
11.219763	235.195160	222.644806
11.272192	235.061646	225.124359
11.324621	233.192444	219.898224
11.377050	240.764618	225.009918
11.429478	240.459442	218.429565
11.481907	237.159729	223.560333
11.534336	234.909058	219.726562
11.586765	235.061646	221.519470
11.639194	241.832733	225.105286
11.691622	244.750977	223.217010
11.744051	241.184235	231.075287
11.796480	242.137909	229.053497
11.848909	240.592957	226.669312
11.901338	245.990753	228.824615
11.953766	247.478485	229.873657
12.006195	257.205963	239.334106
12.058624	253.868103	236.129761
12.111053	249.004364	231.933594
12.163482	247.325897	235.481262
12.215910	248.527527	233.993530
12.268339	247.821808	236.167908
12.320768	252.513885	238.780975
12.373197	247.154236	227.718353
12.425626	245.780945	228.996277
12.478054	242.347717	227.909088
12.530483	243.511200	225.143433
12.582912	242.347717	232.086182
12.635341	246.238708	231.094360
12.687770	246.353149	229.587555
12.740198	250.167847	231.342316
12.792627	244.045258	228.080750
12.845056	241.355896	228.939056
12.897485	241.413116	227.069855
12.949914	231.094360	220.069885
13.002342	235.023499	218.544006
13.054771	233.020782	221.080780
13.107200	241.413116	225.753784
13.159629	240.936279	226.631165
13.212058	239.849091	224.514008
13.264486	236.186981	226.078033
13.316915	240.955353	227.832794
13.369344	241.909027	231.151581
13.421773	242.691040	229.225159
13.474202	239.257812	227.241516
13.526630	243.492126	225.830078
13.579059	241.584778	232.334137
13.631488	247.020721	231.151581
13.683917	248.146057	229.969025
13.736346	250.511169	233.478546
13.788774	247.230530	232.620239
13.841203	247.268677	232.677460
13.893632	241.432190	228.080750
13.946061	242.481232	230.445862
13.998490	237.216949	221.462250
14.050918	238.227844	222.225189
14.103347	240.478516	224.151611
14.155776	241.737366	235.900879
14.208205	245.265961	227.050781
14.260634	244.522095	232.295990
14.313062	250.625610	237.178802
14.365491	244.350433	229.969025
14.417920	252.037048	235.748291
14.470349	251.789093	240.325928
14.522778	255.088806	233.440399
14.575206	250.320435	232.276917
14.627635	248.718262	231.761932
14.680064	249.156952	232.639313
14.732493	254.039764	232.906342
14.784922	254.650116	236.358643
14.837350	256.214142	237.197876
14.889779	256.347656	236.740112
14.942208	246.067047	232.028961
14.994637	241.050720	229.148865
15.047066	245.113373	233.421326
15.099494	249.443054	237.216949
15.151923	238.990784	230.884552
15.204352	246.582031	229.473114
15.256781	244.941711	229.949951
15.309210	249.710083	227.890015
15.361638	241.870880	228.805542
15.414067	245.761871	233.097076
15.466496	244.541168	232.448578
15.518925	251.388550	236.968994
15.571354	246.448517	233.039856
15.623782	249.137878	232.715607
15.676211	240.631104	223.503113
15.728640	238.590240	225.067139
15.781069	236.511230	219.955444
15.833498	236.473083	221.900940
15.885926	234.870911	221.786499
15.938355	237.579346	227.527618
15.990784	246.219635	233.764648
16.043213	243.911743	231.246948
16.095642	238.075256	223.808289
16.148070	238.609314	223.827362
16.200499	237.350464	222.682953
16.252928	238.361359	221.176147
16.305357	240.440369	230.445862
16.357786	240.268707	229.053497
16.410214	247.497559	230.617523
16.462643	242.023468	223.274231
16.515072	244.426727	229.187012
16.567501	247.898102	230.388641
16.619930	245.857239	228.958130
16.672358	247.192383	235.557556
16.724787	249.290466	238.666534
16.777216	252.304077	233.669281
16.829645	248.813629	227.794647
16.882074	242.366791	222.759247
16.934502	241.718292	225.696564
16.986931	241.584778	227.012634
17.039360	246.124268	232.353210
17.091789	251.750946	239.105225
17.144218	250.282288	238.056183
17.196646	247.592926	235.500336
17.249075	250.225067	233.039856
17.301504	249.366760	235.881805
17.353933	247.554779	231.342316
17.406362	250.015259	232.830048
17.458790	242.080688	224.800110
17.511219	242.443085	230.236053
17.563648	241.813660	229.339600
17.616077	249.652863	226.593018
17.668506	244.102478	227.794647
17.720934	239.810944	228.881836
17.773363	241.374969	223.369598
17.825792	242.595673	230.331421
17.878221	242.671967	229.091644
17.930650	245.895386	228.881836
17.983078	243.835449	226.573944
18.035507	244.541168	227.546692
18.087936	247.211456	225.315094
18.140365	240.135193	227.527618
18.192794	238.685608	223.083496
18.245222	239.543915	224.456787
18.297651	236.167908	223.331451
18.350080	238.323212	222.053528
18.402509	236.511230	223.903656
18.454938	244.121552	222.969055
18.507366	237.293243	226.459503
18.559795	234.470367	221.271515
18.612224	240.764618	224.723816
18.664653	237.541199	224.132538
18.717082	240.573883	222.129822
18.769510	239.524841	222.206116
18.821939	242.424011	227.928162
18.874368	245.971680	224.304199
18.926797	238.037109	223.674774
18.979226	235.519409	222.721100
19.031654	237.636566	223.770142
19.084083	238.971710	223.636627
19.136512	237.960815	225.410461
19.188941	239.810944	222.969055
19.241370	241.909027	229.778290
19.293798	244.827271	229.053497
19.346227	249.195099	231.628418
19.398656	242.996216	231.494904
19.451085	247.192383	231.533051
19.503514	246.562958	227.222443
19.555942	250.720978	230.178833
19.608371	246.372223	235.424042
19.660800	245.590210	231.494904
19.713229	246.601105	230.503082
19.765658	244.522095	228.214264
19.818086	244.045258	230.636597
19.870515	246.963501	231.399536
19.922944	249.252319	231.380463
19.975373	248.908997	236.320496
20.027802	246.257782	233.192444
20.080230	252.876282	233.078003
20.132659	244.064331	233.592987
20.185088	247.440338	236.549377
20.237517	251.483917	234.470367
20.289946	249.938965	234.813690
20.342374	246.849060	233.364105
20.394803	246.849060	229.473114
20.447232	250.682831	230.903625
20.499661	248.069763	235.939026
20.552090	244.045258	233.058929
20.604518	245.208740	233.688354
20.656947	243.835449	233.917236
20.709376	243.949890	230.998993
20.761805	239.467621	226.898193
20.814234	238.533020	227.146149
20.866662	239.906311	228.443146
20.919091	239.715576	218.849182
20.971520	238.265991	224.933624
21.023949	244.674683	227.165222
21.076378	242.309570	230.178833
21.128806	245.056152	233.020782
21.181235	242.671967	225.982666
21.233664	243.701935	228.443146
21.286093	242.004395	229.549408
21.338522	239.410400	230.026245
21.390950	237.960815	221.405029
21.443379	234.622955	223.922729
21.495808	236.148834	219.669342
21.548237	237.979889	218.143463
21.600666	240.020752	220.661163
21.653094	238.304138	223.121643
21.705523	241.680145	224.437714
21.757952	244.846344	231.094360
21.810381	249.500275	231.857300
21.862810	258.388519	241.508484
21.915238	254.783630	240.859985
21.967667	252.742767	240.402222
22.020096	250.034332	233.707428
22.072525	247.058868	232.791901
22.124954	246.334076	232.048035
22.177382	245.361328	229.873657
22.229811	246.334076	227.432251
22.282240	249.614716	229.244232
22.334669	247.955322	230.789185
22.387098	242.977142	226.707458
22.439526	247.726440	229.740143
22.491955	252.056122	236.263275
22.544384	255.107880	240.783691
22.596813	257.320404	242.900848
22.649242	263.957977	249.633789
22.701670	260.505676	245.895386
22.754099	255.069733	240.516663
22.806528	261.192322	242.977142
22.858957	256.881714	235.691071
